,city,lat,lon,temp_max,humidity,all,speed,country,date
84,Kulhudhuffushi,6.6221,73.07,85.6,69,63,4.74,MV,[]
85,Le Pradet,43.1066,6.0172,75.79,70,0,21.85,FR,[]
86,East London,-33.0153,27.9116,67.91,60,50,19.17,ZA,[]
87,Kushiro,42.975,144.3747,44.4,99,100,8.1,JP,[]
88,Half Moon Bay,37.4636,-122.4286,53.78,85,75,25.32,US,[]
89,Camaqua,-30.8511,-51.8122,75.33,78,70,5.61,BR,[]
90,Sola,-13.8833,167.55,81.03,75,100,19.66,VU,[]
91,Lasa,46.6166,10.7002,51.37,94,98,2.46,IT,[]
92,Baykit,61.67,96.37,25.43,94,70,4.79,RU,[]
93,Ilulissat,69.2167,-51.1,33.82,86,100,10.36,GL,[]
94,Shubarkuduk,49.1447,56.4872,65.35,29,5,4.68,KZ,[]
95,Pevek,69.7008,170.3133,16.74,74,100,7.07,RU,[]
96,Mecca,21.4267,39.8261,96.3,27,0,20.89,SA,[]
97,Kyren,51.6828,102.1408,31.12,59,90,1.81,RU,[]
98,Asau,46.4333,26.4,70.95,29,69,7.34,RO,[]
99,Shirokiy,49.758,129.523,33.49,95,100,19.13,RU,[]
100,San Cristobal,7.7669,-72.225,80.8,52,97,1.41,VE,[]
101,Saskylakh,71.9167,114.0833,-2.16,100,93,1.83,RU,[]
102,Kodiak,57.79,-152.4072,35.11,75,100,4.61,US,[]
103,Challapata,-18.9,-66.7667,52.92,13,96,3.69,BO,[]
104,Sao Jose Da Coroa Grande,-8.8978,-35.1478,82.9,65,45,13.47,BR,[]
105,Yamada,39.4667,141.95,57.29,98,100,11.92,JP,[]
106,Yangliuqing,39.1375,116.9997,64.35,12,1,14.74,CN,[]
107,Cabo San Lucas,22.8909,-109.9124,71.51,66,0,6.64,MX,[]
108,Clyde River,70.4692,-68.5914,11.84,94,100,32.59,CA,[]
109,Margate,51.3813,1.3862,58.1,57,12,11.83,GB,[]
110,Scandiano,44.5965,10.6907,69.75,49,45,8.99,IT,[]
111,Escanaba,45.7453,-87.0646,30.51,88,100,5.75,US,[]
112,Manado,1.487,124.8455,79.57,94,40,2.3,ID,[]
113,Songjianghe,42.1859,127.479,36.97,67,86,12.86,CN,[]
114,Ribeira Grande,38.5167,-28.7,64.8,77,20,14.97,PT,[]
115,Araceli,10.5529,119.9913,83.44,80,100,12.12,PH,[]
116,Gambo,4.6482,22.2633,90.81,42,100,2.06,CF,[]
117,Saint-Joseph,-21.3667,55.6167,77.38,80,23,10.51,RE,[]
118,Victoria,22.2855,114.1577,82.45,82,64,8.01,HK,[]
119,Elk,53.8282,22.3647,55.29,49,84,7.2,PL,[]
120,Karratha,-20.7377,116.8463,81.23,50,99,13.42,AU,[]
121,Mahebourg,-20.4081,57.7,79.09,73,75,10.36,MU,[]
122,Isangel,-19.55,169.2667,74.98,63,100,12.3,VU,[]
123,Bereznik,62.8551,42.7072,38.8,91,100,6.89,RU,[]
124,Lulea,65.5842,22.1547,35.67,38,0,18.41,SE,[]
125,Hithadhoo,-0.6,73.0833,85.55,69,100,7.05,MV,[]
126,Tortosa,40.8125,0.5216,73.24,41,100,9.37,ES,[]
127,Paamiut,61.994,-49.6678,32.74,93,100,23.06,GL,[]
128,Rincon,32.296,-81.2354,76.96,69,20,8.05,US,[]
129,San-Pedro,4.7485,-6.6363,86.23,66,100,8.16,CI,[]
130,Port Elizabeth,-33.918,25.5701,68.09,75,1,5.01,ZA,[]
131,Castro,-24.7911,-50.0119,75.25,58,100,4.7,BR,[]
132,Aklavik,68.2191,-135.0107,27.72,97,100,4.85,CA,[]
133,Nuuk,64.1835,-51.7216,36.21,80,75,28.77,GL,[]
